assembly,query,contig,pident,alen,qlen,qstart,qend,sstart,send,evalue,bitscore
Sb_unique28,MAL11|YGR289C|616,CM003558.1,58.02,586,616,1,584,784017,782284,0.0,703.0
Sb_unique28,MAL11|YGR289C|616,CM003562.1,57.85,586,616,1,584,9021,10754,0.0,703.0
Sb_unique28,MAL11|YGR289C|616,CM003560.1,55.026,587,616,1,584,1516282,1514552,0.0,671.0
Sb_unique28,MAL11|YGR289C|616,CM003560.1,26.335,562,616,68,607,1302887,1301277,9.6e-32,130.0
Sb_unique28,MAL11|YGR289C|616,CM003560.1,25.732,478,616,121,576,1404405,1403035,9.03e-27,115.0
Sb_unique28,MAL11|YGR289C|616,CM003560.1,25.0,580,616,37,595,362395,364041,4.46e-26,113.0
Sb_unique28,MAL11|YGR289C|616,CM003560.1,21.885,626,616,3,608,365618,367423,9.04e-24,105.0
Sb_unique28,MAL11|YGR289C|616,CM003560.1,21.947,606,616,19,608,371070,372815,2.68e-23,104.0
Sb_unique28,MAL11|YGR289C|616,CM003560.1,22.374,514,616,97,597,1509059,1510567,4.32e-18,87.8
Sb_unique28,MAL11|YGR289C|616,CM003560.1,21.414,481,616,110,567,24214,22844,2.9e-11,65.5
Sb_unique28,MAL11|YGR289C|616,CM003560.1,23.729,295,616,65,349,283148,283954,4.5e-07,52.0
Sb_unique28,MAL11|YGR289C|616,CM003563.1,24.525,526,616,90,592,241385,242908,2.72e-26,114.0
Sb_unique28,MAL11|YGR289C|616,CM003563.1,22.857,595,616,26,597,244983,246689,2.2e-24,107.0
Sb_unique28,MAL11|YGR289C|616,CM003563.1,23.214,560,616,52,593,248887,250500,5.21e-24,106.0
Sb_unique28,MAL11|YGR289C|616,CM003566.1,23.468,571,616,22,571,269917,271524,4.13e-24,107.0
Sb_unique28,MAL11|YGR289C|616,CM003555.1,22.842,556,616,59,593,23494,21860,9.13e-23,102.0
Sb_unique28,MAL11|YGR289C|616,CM003568.1,22.727,528,616,83,597,13979,12429,1.75e-22,101.0
Sb_unique28,MAL11|YGR289C|616,CM003568.1,23.766,547,616,56,567,740537,742102,1.12e-11,67.0
Sb_unique28,MAL11|YGR289C|616,CM003567.1,23.105,554,616,56,578,270815,272398,3.79e-22,100.0
Sb_unique28,MAL11|YGR289C|616,CM003561.1,23.541,497,616,104,575,150210,148774,1.3e-19,92.4
Sb_unique28,MAL11|YGR289C|616,CM003564.1,21.837,490,616,41,507,698331,696949,7.31e-16,80.5
Sb_unique28,MAL13|YGR288W|473,CM003562.1,71.092,467,473,9,473,12968,11568,0.0,698.0
Sb_unique28,MAL13|YGR288W|473,CM003562.1,68.056,72,473,5,76,13841,13626,3.75e-24,105.0
Sb_unique28,MAL13|YGR288W|473,CM003562.1,25.731,171,473,11,170,576603,577082,5.16e-06,47.8
Sb_unique28,MAL13|YGR288W|473,CM003558.1,68.308,467,473,7,473,780070,781470,0.0,670.0
Sb_unique28,MAL13|YGR288W|473,CM003570.1,66.381,467,473,9,473,918857,920257,0.0,645.0
Sb_unique28,MAL13|YGR288W|473,CM003564.1,64.807,466,473,10,473,703976,702594,0.0,628.0
Sb_unique28,MAL13|YGR288W|473,CM003553.1,48.649,37,473,11,47,212155,212045,3.6e-06,48.1
Sb_unique28,PAU15|YIR041W|124,CM003567.1,99.194,124,124,1,124,907269,907640,6.05e-78,248.0
Sb_unique28,PAU15|YIR041W|124,CM003570.1,99.194,124,124,1,124,8649,8278,6.05e-78,248.0
Sb_unique28,PAU15|YIR041W|124,CM003569.1,99.194,124,124,1,124,8494,8123,6.05e-78,248.0
Sb_unique28,PAU15|YIR041W|124,CM003559.1,99.194,124,124,1,124,8754,8383,7.56e-78,248.0
Sb_unique28,PAU15|YIR041W|124,CM003566.1,94.355,124,124,1,124,202791,202420,1.93e-75,241.0
Sb_unique28,PAU15|YIR041W|124,CM003566.1,94.355,124,124,1,124,80128,80499,1.02e-74,239.0
Sb_unique28,PAU15|YIR041W|124,CM003566.1,85.0,120,124,1,120,1039865,1040215,1.42e-54,181.0
Sb_unique28,PAU15|YIR041W|124,CM003561.1,90.833,120,124,1,120,163416,163772,9.65e-57,187.0
Sb_unique28,PAU15|YIR041W|124,LIOO01000005.1,90.833,120,124,1,120,6435,6079,1.3e-56,187.0
Sb_unique28,PAU15|YIR041W|124,CM003557.1,90.833,120,124,1,120,158129,157773,1.3e-56,187.0
Sb_unique28,PAU15|YIR041W|124,CM003557.1,86.667,120,124,1,120,2454,2104,3.03e-54,180.0
Sb_unique28,PAU15|YIR041W|124,CM003558.1,85.0,120,124,1,120,6204,5854,1.28e-54,181.0
Sb_unique28,PAU15|YIR041W|124,CM003558.1,85.833,120,124,1,120,788601,788951,5.47e-54,179.0
Sb_unique28,PAU15|YIR041W|124,CM003558.1,29.63,81,124,38,113,352621,352379,7.14e-08,48.1
Sb_unique28,PAU15|YIR041W|124,CM003554.1,85.0,120,124,1,120,2142,1792,1.42e-54,181.0
Sb_unique28,PAU15|YIR041W|124,CM003554.1,30.435,92,124,33,118,108311,108039,3.35e-08,48.9
Sb_unique28,PAU15|YIR041W|124,CM003560.1,82.5,120,124,1,120,9146,8796,2.22e-54,181.0
Sb_unique28,PAU15|YIR041W|124,CM003563.1,86.667,120,124,1,120,520694,521044,3.03e-54,180.0
Sb_unique28,PAU15|YIR041W|124,CM003562.1,86.667,120,124,1,120,1044825,1045175,3.03e-54,180.0
Sb_unique28,PAU15|YIR041W|124,CM003562.1,85.833,120,124,1,120,4438,4088,5.47e-54,179.0
Sb_unique28,PAU15|YIR041W|124,CM003565.1,84.167,120,124,1,120,665938,666288,3.9e-54,180.0
Sb_unique28,PAU15|YIR041W|124,CM003555.1,81.452,124,124,1,120,63997,64368,4.55e-54,180.0
Sb_unique28,PAU15|YIR041W|124,CM003555.1,28.09,89,124,32,111,175566,175826,3.62e-07,46.2
Sb_unique28,PAU15|YIR041W|124,CM003564.1,73.109,119,124,1,119,22042,22395,2.64e-46,157.0
Sb_unique28,PAU15|YIR041W|124,CM003564.1,73.0,100,124,24,123,28009,28308,2.34e-45,155.0
Sb_unique28,PAU15|YIR041W|124,LIOO01000004.1,30.435,92,124,33,118,12957,13229,3.32e-08,48.9
Sb_unique28,PAU16|YKL224C|123,CM003567.1,99.167,120,123,1,120,907269,907628,2.14e-75,241.0
Sb_unique28,PAU16|YKL224C|123,CM003570.1,99.167,120,123,1,120,8649,8290,2.14e-75,241.0
Sb_unique28,PAU16|YKL224C|123,CM003569.1,99.167,120,123,1,120,8494,8135,2.14e-75,241.0
Sb_unique28,PAU16|YKL224C|123,CM003559.1,99.167,120,123,1,120,8754,8395,3.12e-75,240.0
Sb_unique28,PAU16|YKL224C|123,CM003566.1,95.833,120,123,1,120,202791,202432,9.55e-74,236.0
Sb_unique28,PAU16|YKL224C|123,CM003566.1,95.833,120,123,1,120,80128,80487,5.73e-73,234.0
Sb_unique28,PAU16|YKL224C|123,CM003566.1,85.366,123,123,1,123,1039865,1040224,1.07e-56,187.0
Sb_unique28,PAU16|YKL224C|123,CM003561.1,91.057,123,123,1,123,163416,163781,8.02e-59,193.0
Sb_unique28,PAU16|YKL224C|123,LIOO01000005.1,91.057,123,123,1,123,6435,6070,1.39e-58,192.0
Sb_unique28,PAU16|YKL224C|123,CM003557.1,91.057,123,123,1,123,158129,157764,1.39e-58,192.0
Sb_unique28,PAU16|YKL224C|123,CM003557.1,85.366,123,123,1,123,2454,2095,2.26e-56,186.0
Sb_unique28,PAU16|YKL224C|123,CM003558.1,85.366,123,123,1,123,6204,5845,1.01e-56,187.0
Sb_unique28,PAU16|YKL224C|123,CM003558.1,86.179,123,123,1,123,788601,788960,5.15e-56,185.0
Sb_unique28,PAU16|YKL224C|123,CM003558.1,29.63,81,123,38,113,352621,352379,7.06e-08,48.1
Sb_unique28,PAU16|YKL224C|123,CM003554.1,85.366,123,123,1,123,2142,1783,1.07e-56,187.0
Sb_unique28,PAU16|YKL224C|123,CM003554.1,30.435,92,123,33,118,108311,108039,3.07e-08,49.3
Sb_unique28,PAU16|YKL224C|123,CM003560.1,85.366,123,123,1,123,9146,8787,1.46e-56,187.0
Sb_unique28,PAU16|YKL224C|123,CM003563.1,85.366,123,123,1,123,520694,521053,2.26e-56,186.0
Sb_unique28,PAU16|YKL224C|123,CM003562.1,85.366,123,123,1,123,1044825,1045184,2.26e-56,186.0
Sb_unique28,PAU16|YKL224C|123,CM003562.1,86.179,123,123,1,123,4438,4079,5.15e-56,185.0
Sb_unique28,PAU16|YKL224C|123,CM003565.1,84.553,123,123,1,123,665938,666297,2.69e-56,186.0
Sb_unique28,PAU16|YKL224C|123,CM003555.1,81.89,127,123,1,123,63997,64377,3.71e-56,186.0
Sb_unique28,PAU16|YKL224C|123,CM003555.1,28.09,89,123,32,111,175566,175826,3.38e-07,46.2
Sb_unique28,PAU16|YKL224C|123,CM003564.1,73.109,119,123,1,119,22042,22395,3.78e-46,157.0
Sb_unique28,PAU16|YKL224C|123,CM003564.1,73.196,97,123,24,120,28009,28299,1.72e-43,149.0
Sb_unique28,PAU16|YKL224C|123,LIOO01000004.1,30.435,92,123,33,118,12957,13229,3.04e-08,49.3
Sb_unique28,TDA8|YAL064C-A|126,CM003557.1,87.5,120,126,1,120,198817,199176,1.97e-68,221.0
Sb_unique28,TDA8|YAL064C-A|126,CM003557.1,84.167,120,126,1,120,14615,14256,9.54e-66,213.0
Sb_unique28,TDA8|YAL064C-A|126,CM003557.1,83.333,120,126,1,120,185283,185642,1.38e-65,213.0
Sb_unique28,TDA8|YAL064C-A|126,CM003563.1,85.0,120,126,1,120,11742,11383,1.57e-66,216.0
Sb_unique28,TDA8|YAL064C-A|126,LIOO01000005.1,83.333,120,126,1,120,33360,33719,1.37e-65,213.0
Sb_unique28,TDA8|YAL064C-A|126,CM003561.1,80.833,120,126,1,120,232710,233069,4.8e-63,206.0
Sb_unique28,TDA8|YAL064C-A|126,CM003565.1,74.167,120,126,1,120,22187,21828,6.72e-57,188.0
Sb_unique28,VAM10|YOR068C|114,CM003569.1,100.0,114,114,1,114,631698,632039,3.23e-68,219.0
Sb_unique28,VTH1|YIL173W|1549,CM003568.1,78.361,1562,1549,1,1549,31718,36400,0.0,2521.0
Sb_unique28,VTH1|YIL173W|1549,CM003558.1,67.437,1557,1549,1,1531,183409,178739,0.0,2138.0
Sb_unique28,VTH1|YIL173W|1549,CM003559.1,58.303,271,1549,167,436,14017,14829,0.0,327.0
Sb_unique28,VTH1|YIL173W|1549,CM003559.1,60.294,272,1549,566,808,15261,16076,0.0,322.0
Sb_unique28,VTH1|YIL173W|1549,CM003559.1,51.163,172,1549,1,171,13520,14032,0.0,167.0
Sb_unique28,VTH1|YIL173W|1549,CM003559.1,53.02,149,1549,437,570,14828,15274,0.0,154.0
Sb_unique28,VTH1|YIL173W|1549,CM003559.1,50.943,53,1549,835,887,16118,16276,0.0,55.8
Sb_unique28,VTH1|YIL173W|1549,CM003559.1,56.25,16,1549,822,837,16084,16131,0.0,25.0
Sb_unique28,VTH2|YJL222W|1549,CM003568.1,78.425,1562,1549,1,1549,31718,36400,0.0,2524.0
Sb_unique28,VTH2|YJL222W|1549,CM003558.1,67.502,1557,1549,1,1531,183409,178739,0.0,2140.0
Sb_unique28,VTH2|YJL222W|1549,CM003559.1,58.303,271,1549,167,436,14017,14829,0.0,327.0
Sb_unique28,VTH2|YJL222W|1549,CM003559.1,60.294,272,1549,566,808,15261,16076,0.0,322.0
Sb_unique28,VTH2|YJL222W|1549,CM003559.1,51.163,172,1549,1,171,13520,14032,0.0,167.0
Sb_unique28,VTH2|YJL222W|1549,CM003559.1,53.02,149,1549,437,570,14828,15274,0.0,154.0
Sb_unique28,VTH2|YJL222W|1549,CM003559.1,50.943,53,1549,835,887,16118,16276,0.0,55.8
Sb_unique28,VTH2|YJL222W|1549,CM003559.1,56.25,16,1549,822,837,16084,16131,0.0,25.0
Sb_unique28,HXT1|YHR094C|570,CM003563.1,99.123,570,570,1,570,245013,246722,0.0,1164.0
Sb_unique28,HXT1|YHR094C|570,CM003563.1,72.822,574,570,13,570,241247,242965,0.0,817.0
Sb_unique28,HXT1|YHR094C|570,CM003563.1,72.648,574,570,2,570,248869,250554,0.0,805.0
Sb_unique28,HXT1|YHR094C|570,CM003560.1,86.14,570,570,1,570,362389,364089,0.0,959.0
Sb_unique28,HXT1|YHR094C|570,CM003560.1,74.007,554,570,21,570,365783,367438,0.0,831.0
